lead_sid,config_dir,lead_transcript,member,subagent_type,brief_class,spawn_ok,spawn_ts_utc,n_idle_notifications,first_idle_utc,teardown_by_lead,teardown_ts_utc,latency_idle_to_teardown_s,idle_after_teardown,fleet_reap_ts_utc,fate,lead_last_record_utc,lead_disposition
6cda2e02-a25d-4978-9610-e5b3b8e74b4e,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-lr100p/6cda2e02-a25d-4978-9610-e5b3b8e74b4e.jsonl,q-survivability,deep-research,research,True,2026-09-09T02:05:04.795Z,0,,none,,,0,,NEVER CLOSED,2026-09-09T03:16:27.725Z,NOTHING
6cda2e02-a25d-4978-9610-e5b3b8e74b4e,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-lr100p/6cda2e02-a25d-4978-9610-e5b3b8e74b4e.jsonl,q-capacity,deep-research,research,False,2026-09-09T02:05:29.219Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T03:16:27.725Z,NOTHING
6cda2e02-a25d-4978-9610-e5b3b8e74b4e,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-lr100p/6cda2e02-a25d-4978-9610-e5b3b8e74b4e.jsonl,q-transplant,deep-research,research,False,2026-09-09T02:05:55.391Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T03:16:27.725Z,NOTHING
6cda2e02-a25d-4978-9610-e5b3b8e74b4e,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-lr100p/6cda2e02-a25d-4978-9610-e5b3b8e74b4e.jsonl,q-provenance,deep-research,research,False,2026-09-09T02:06:21.825Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T03:16:27.725Z,NOTHING
6cda2e02-a25d-4978-9610-e5b3b8e74b4e,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-lr100p/6cda2e02-a25d-4978-9610-e5b3b8e74b4e.jsonl,q-relaunch,deep-research,research,True,2026-09-09T02:06:48.532Z,0,,none,,,0,2026-09-09T04:24:29+00:00,reaped by teammate-auto-shutdown.sh,2026-09-09T03:16:27.725Z,NOTHING
6cda2e02-a25d-4978-9610-e5b3b8e74b4e,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-lr100p/6cda2e02-a25d-4978-9610-e5b3b8e74b4e.jsonl,q-redteam,deep-research,research,False,2026-09-09T02:07:24.171Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T03:16:27.725Z,NOTHING
6cda2e02-a25d-4978-9610-e5b3b8e74b4e,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-lr100p/6cda2e02-a25d-4978-9610-e5b3b8e74b4e.jsonl,q-classifier,deep-research,research,False,2026-09-09T02:07:48.902Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T03:16:27.725Z,NOTHING
0b70b725-875c-4ea8-8970-90588ee4a020,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-79e7c3cb7357/0b70b725-875c-4ea8-8970-90588ee4a020.jsonl,reso-gate,general-purpose,research,False,2026-09-09T06:00:32.975Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T14:08:20.765Z,shutdown_request-ALL
0b70b725-875c-4ea8-8970-90588ee4a020,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-79e7c3cb7357/0b70b725-875c-4ea8-8970-90588ee4a020.jsonl,reso-rows,general-purpose,research,True,2026-09-09T06:00:51.690Z,0,,shutdown_request,2026-09-09T14:06:59.771Z,,0,2026-09-09T15:05:34+00:00,torn down by lead,2026-09-09T14:08:20.765Z,shutdown_request-ALL
0b70b725-875c-4ea8-8970-90588ee4a020,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-79e7c3cb7357/0b70b725-875c-4ea8-8970-90588ee4a020.jsonl,dc-rows,general-purpose,research,False,2026-09-09T06:01:12.035Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T14:08:20.765Z,shutdown_request-ALL
0b70b725-875c-4ea8-8970-90588ee4a020,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-79e7c3cb7357/0b70b725-875c-4ea8-8970-90588ee4a020.jsonl,reso-prod,general-purpose,research,False,2026-09-09T06:01:27.249Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T14:08:20.765Z,shutdown_request-ALL
5a8dd03a-73e1-4494-99b8-0ca2989309e4,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-cc-012755-91636/5a8dd03a-73e1-4494-99b8-0ca2989309e4.jsonl,stack-synth,general-purpose,research,False,2026-08-26T10:03:36.542Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-08-27T05:13:20.123Z,no-spawn-succeeded
5a8dd03a-73e1-4494-99b8-0ca2989309e4,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-cc-012755-91636/5a8dd03a-73e1-4494-99b8-0ca2989309e4.jsonl,direction-synth,general-purpose,research,False,2026-08-26T10:03:36.546Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-08-27T05:13:20.123Z,no-spawn-succeeded
d02d8feb-1f9d-42bb-8487-80b726c88950,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-cc-095358-75429/d02d8feb-1f9d-42bb-8487-80b726c88950.jsonl,lint-window-id,,impl,True,2026-09-19T15:48:56.761Z,0,,shutdown_request,2026-09-19T16:06:09.532Z,,0,,torn down by lead,2026-09-19T16:20:30.895Z,shutdown_request-ALL
d02d8feb-1f9d-42bb-8487-80b726c88950,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-cc-095358-75429/d02d8feb-1f9d-42bb-8487-80b726c88950.jsonl,e2e-legacy-nav,,research,True,2026-09-19T15:49:20.571Z,0,,shutdown_request,2026-09-19T16:06:11.153Z,,0,,torn down by lead,2026-09-19T16:20:30.895Z,shutdown_request-ALL
3cc1ccb7-4808-4fc3-9196-71ece676e0d1,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-f495d5374c01/3cc1ccb7-4808-4fc3-9196-71ece676e0d1.jsonl,r7-verify,general-purpose,research,False,2026-09-08T06:33:00.836Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-08T13:37:22.073Z,no-spawn-succeeded
3cc1ccb7-4808-4fc3-9196-71ece676e0d1,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-f495d5374c01/3cc1ccb7-4808-4fc3-9196-71ece676e0d1.jsonl,revert-verify,general-purpose,research,False,2026-09-08T06:33:18.538Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-08T13:37:22.073Z,no-spawn-succeeded
3cc1ccb7-4808-4fc3-9196-71ece676e0d1,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-wt-f495d5374c01/3cc1ccb7-4808-4fc3-9196-71ece676e0d1.jsonl,lane-measure,general-purpose,research,False,2026-09-08T06:33:35.513Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-08T13:37:22.073Z,no-spawn-succeeded
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,gapcheck-1,general-purpose,research,True,2026-08-17T10:07:04.586Z,0,,shutdown_request,2026-08-17T12:57:31.445Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,gapcheck-2,general-purpose,research,True,2026-08-17T10:07:15.189Z,1,2026-08-17T11:30:04.950Z,shutdown_request,2026-08-17T12:57:32.155Z,5248,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,gapcheck-3,general-purpose,research,True,2026-08-17T10:07:25.921Z,0,,shutdown_request,2026-08-17T12:57:33.561Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,gapcheck-4,general-purpose,research,True,2026-08-17T10:07:35.671Z,0,,shutdown_request,2026-08-17T12:57:34.269Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,gapcheck-5,general-purpose,research,True,2026-08-17T10:07:45.556Z,0,,shutdown_request,2026-08-17T12:57:34.980Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,gapcheck-6,general-purpose,research,True,2026-08-17T10:07:54.031Z,0,,shutdown_request,2026-08-17T12:57:35.695Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,gapcheck-7,general-purpose,research,True,2026-08-17T10:08:04.367Z,1,2026-08-17T12:12:48.884Z,shutdown_request,2026-08-17T12:57:37.095Z,2689,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-secscan,general-purpose,ambiguous,True,2026-08-17T11:00:38.970Z,0,,shutdown_request,2026-08-17T12:57:39.963Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-readme,general-purpose,ambiguous,True,2026-08-17T11:00:53.844Z,0,,shutdown_request,2026-08-17T12:57:37.833Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-scrollev,general-purpose,ambiguous,True,2026-08-17T11:01:12.142Z,0,,shutdown_request,2026-08-17T12:57:39.264Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-framesgif,general-purpose,ambiguous,True,2026-08-17T11:01:26.976Z,0,,shutdown_request,2026-08-17T12:57:38.524Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-prdesc-a,general-purpose,ambiguous,True,2026-08-17T11:01:43.916Z,0,,shutdown_request,2026-08-17T12:57:41.330Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-prref-a,general-purpose,ambiguous,True,2026-08-17T11:01:59.839Z,0,,shutdown_request,2026-08-17T12:57:42.036Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-var-a,general-purpose,ambiguous,True,2026-08-17T12:07:51.904Z,0,,shutdown_request,2026-08-17T12:59:20.825Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-var-b,general-purpose,ambiguous,True,2026-08-17T12:07:58.264Z,0,,shutdown_request,2026-08-17T12:59:21.536Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-var-c,general-purpose,ambiguous,True,2026-08-17T12:08:05.324Z,0,,shutdown_request,2026-08-17T12:59:22.953Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-pver-a,general-purpose,ambiguous,True,2026-08-17T12:08:13.089Z,0,,shutdown_request,2026-08-17T12:59:23.652Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-pver-b,general-purpose,ambiguous,True,2026-08-17T12:08:18.740Z,0,,shutdown_request,2026-08-17T12:59:24.360Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-prdesc-b,general-purpose,ambiguous,True,2026-08-17T12:08:29.258Z,1,2026-08-17T15:59:08.935Z,shutdown_request,2026-08-17T12:57:42.402Z,-10886,1,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-pve-a,general-purpose,ambiguous,True,2026-08-17T12:10:03.730Z,0,,shutdown_request,2026-08-17T12:59:25.068Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-pve-b,general-purpose,ambiguous,True,2026-08-17T12:10:10.691Z,0,,shutdown_request,2026-08-17T12:59:26.510Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-pve-c,general-purpose,ambiguous,True,2026-08-17T12:10:18.457Z,0,,shutdown_request,2026-08-17T12:59:27.206Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-contrib,general-purpose,ambiguous,True,2026-08-17T12:10:24.098Z,1,2026-08-17T12:15:55.828Z,shutdown_request,2026-08-17T12:59:27.939Z,2612,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-eod,general-purpose,ambiguous,True,2026-08-17T12:10:29.777Z,0,,shutdown_request,2026-08-17T12:59:28.612Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-trio,general-purpose,ambiguous,True,2026-08-17T12:10:38.216Z,0,,shutdown_request,2026-08-17T12:59:29.310Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-triage,general-purpose,ambiguous,True,2026-08-17T12:10:45.270Z,0,,shutdown_request,2026-08-17T12:59:30.716Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,tx-review,general-purpose,ambiguous,True,2026-08-17T12:10:55.145Z,0,,shutdown_request,2026-08-17T12:59:30.884Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,w1,general-purpose,ambiguous,True,2026-08-17T12:29:56.081Z,0,,TaskStop,2026-08-17T18:13:56.606Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,w2,general-purpose,ambiguous,True,2026-08-17T12:29:58.912Z,0,,TaskStop,2026-08-17T18:13:57.303Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,w3,general-purpose,ambiguous,True,2026-08-17T12:30:01.732Z,0,,TaskStop,2026-08-17T18:13:57.311Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,w4,general-purpose,ambiguous,True,2026-08-17T12:30:03.900Z,1,2026-08-17T16:37:14.056Z,TaskStop,2026-08-17T18:13:58.037Z,5804,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
4101dbdf-742b-4751-8de6-fe6d5340c38c,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development-chris-capital-group-contributions/4101dbdf-742b-4751-8de6-fe6d5340c38c.jsonl,w5,general-purpose,ambiguous,True,2026-08-17T12:30:06.003Z,0,,TaskStop,2026-08-17T18:13:58.113Z,,0,,torn down by lead,2026-09-14T15:39:02.794Z,shutdown_request-SOME
