close_ts_local,close_ts_utc,team,member,agent_type,pane,decidable,last_assistant_kind,last_assistant_age_s,pending_tool_use_at_close,deliverable_written_before_close,deliverable_paths_in_brief,lead_msg_to_member_within_10min,lead_msg_summary,patch_at_close,checkpoint_at_close,nothing_to_checkpoint,records_after_close,flags,verdict,member_transcript
2026-08-06 00:36:23,2026-08-06 05:36:23,session-fc6f1745,adjudicate-actuators,general-purpose,151,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-06 00:37:37,2026-08-06 05:37:37,session-fc6f1745,plist-census,general-purpose,152,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-06 00:40:26,2026-08-06 05:40:26,session-fc6f1745,path-population,general-purpose,149,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-06 00:43:30,2026-08-06 05:43:30,session-fc6f1745,adjudicate-gate,general-purpose,150,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-06 02:14:41,2026-08-06 07:14:41,session-ef400f37,hook-block-5,general-purpose,168,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-06 02:15:27,2026-08-06 07:15:27,session-ef400f37,hook-block-1,general-purpose,164,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-06 02:15:28,2026-08-06 07:15:28,session-ef400f37,hook-block-3,general-purpose,166,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-06 02:15:28,2026-08-06 07:15:28,session-ef400f37,hook-block-6,general-purpose,169,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-06 02:15:30,2026-08-06 07:15:30,session-ef400f37,hook-block-2,general-purpose,165,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-06 02:17:04,2026-08-06 07:17:04,session-ef400f37,hook-block-4,general-purpose,167,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-06 15:21:39,2026-08-06 20:21:39,session-657c5a0c,bs-grid,general-purpose,199,no,,,,,,,,,yes,,,,UNCERTAIN,
2026-08-06 15:21:45,2026-08-06 20:21:45,session-657c5a0c,bs-detail,general-purpose,200,no,,,,,,,,,yes,,,,UNCERTAIN,
2026-08-06 21:15:18,2026-08-07 02:15:18,session-c471e912,exercise-reviewer,general-purpose,216,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-06 21:35:10,2026-08-07 02:35:10,session-81fbe9af,corpus-miner,general-purpose,223,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-06 21:49:43,2026-08-07 02:49:43,session-c471e912,depth-reviewer,general-purpose,215,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-06 23:13:11,2026-08-07 04:13:11,session-3c1b63f9,kitty-audit,Explore,241,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-06 23:18:01,2026-08-07 04:18:01,session-3c1b63f9,leak-audit,Explore,244,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-06 23:18:29,2026-08-07 04:18:29,session-3c1b63f9,daemon-audit,Explore,242,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-06 23:19:19,2026-08-07 04:19:19,session-3c1b63f9,hook-audit,Explore,243,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 00:04:44,2026-08-07 05:04:44,session-20fbfe09,close-site-census,Explore,252,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 00:09:00,2026-08-07 05:09:00,session-20fbfe09,forensics-logs,deep-research,250,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 00:09:12,2026-08-07 05:09:12,session-20fbfe09,composer-guard,deep-research,251,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 00:19:13,2026-08-07 05:19:13,session-3ac82ca0,n16-gates,general-purpose,257,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 00:30:55,2026-08-07 05:30:55,session-3ac82ca0,n16-prefetch,general-purpose,259,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 00:32:58,2026-08-07 05:32:58,session-3ac82ca0,n16-instr,general-purpose,258,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 00:36:43,2026-08-07 05:36:43,session-3ac82ca0,n16-errors,general-purpose,254,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 00:37:19,2026-08-07 05:37:19,session-3ac82ca0,n16-conn-module,general-purpose,255,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 00:54:48,2026-08-07 05:54:48,session-344b2e34,chokepoint,Explore,264,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 00:55:19,2026-08-07 05:55:19,session-a0ef97d4,inventory,Explore,270,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 00:55:33,2026-08-07 05:55:33,session-3ac82ca0,n16-dbcache,general-purpose,256,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 00:57:35,2026-08-07 05:57:35,session-344b2e34,primitives,Explore,265,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 01:01:24,2026-08-07 06:01:24,session-182ae1c5,telemetry,deep-research,269,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 01:03:37,2026-08-07 06:03:37,session-a0ef97d4,spawnpath,Explore,271,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 01:03:49,2026-08-07 06:03:49,session-344b2e34,evidence,Explore,266,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 01:05:07,2026-08-07 06:05:07,session-182ae1c5,graveyard,deep-research,272,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 01:15:02,2026-08-07 06:15:02,session-182ae1c5,arch-history,deep-research,267,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 01:26:14,2026-08-07 06:26:14,session-3c1b63f9,redteam-lag-generator,general-purpose,285,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 01:45:37,2026-08-07 06:45:37,session-0723cf8b,r3-seams,general-purpose,297,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 01:51:01,2026-08-07 06:51:01,session-3ac82ca0,n16-conn-consumers,general-purpose,286,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 01:51:02,2026-08-07 06:51:02,session-0723cf8b,r1-archaeology,general-purpose,295,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-07 01:54:19,2026-08-07 06:54:19,session-182ae1c5,t3-alarm,,290,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 02:00:01,2026-08-07 07:00:01,session-0723cf8b,r2-telemetry,general-purpose,296,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 02:08:19,2026-08-07 07:08:19,session-182ae1c5,t2-guard,,289,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-07 02:12:58,2026-08-07 07:12:58,session-6670e5f8,sl-4,,304,no,,,,,,,,,yes,,,,UNCERTAIN,
2026-08-07 02:14:17,2026-08-07 07:14:17,session-6670e5f8,sl-3,,303,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 02:25:14,2026-08-07 07:25:14,session-6670e5f8,co-3,,314,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-07 02:25:17,2026-08-07 07:25:17,session-6670e5f8,co-4,,315,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 02:27:46,2026-08-07 07:27:46,session-6670e5f8,sl-6,,311,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 02:29:23,2026-08-07 07:29:23,session-6670e5f8,sl-5,,310,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 02:38:54,2026-08-07 07:38:54,session-6670e5f8,ex-1,,323,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 02:44:33,2026-08-07 07:44:33,session-6670e5f8,ex-2,,324,no,,,,,,,,,yes,,,,UNCERTAIN,
2026-08-07 03:01:29,2026-08-07 08:01:29,session-6670e5f8,ho,,335,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 04:48:33,2026-08-07 09:48:33,session-d746a5db,deck2,general-purpose,368,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 04:51:40,2026-08-07 09:51:40,session-d746a5db,deck5,general-purpose,371,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 04:51:56,2026-08-07 09:51:56,session-d746a5db,deck4,general-purpose,370,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 05:05:50,2026-08-07 10:05:50,session-d746a5db,deck3,general-purpose,369,no,,,,,,,,,yes,,,,UNCERTAIN,
2026-08-07 05:33:58,2026-08-07 10:33:58,session-92901845,course-map,Explore,388,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 05:44:52,2026-08-07 10:44:52,session-92901845,pii-package,general-purpose,391,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 05:45:02,2026-08-07 10:45:02,session-92901845,pii-source,general-purpose,392,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 06:06:09,2026-08-07 11:06:09,session-26b69973,course-corpus,Explore,399,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 06:07:06,2026-08-07 11:07:06,session-26b69973,axis-hooks,deep-research,401,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 06:07:24,2026-08-07 11:07:24,session-26b69973,axis-orchestration,deep-research,403,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 06:09:36,2026-08-07 11:09:36,session-26b69973,axis-skills,deep-research,402,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 06:10:17,2026-08-07 11:10:17,session-26b69973,axis-failures,deep-research,405,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 06:11:46,2026-08-07 11:11:46,session-26b69973,axis-instruction-file,deep-research,400,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 06:11:54,2026-08-07 11:11:54,session-26b69973,public-corpus,deep-research,398,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 06:25:19,2026-08-07 11:25:19,session-26b69973,axis-context,deep-research,404,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 06:38:04,2026-08-07 11:38:04,session-21c8f122,rev-consistency,Explore,410,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 06:42:07,2026-08-07 11:42:07,session-21c8f122,rev-slides,general-purpose,408,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-07 06:42:08,2026-08-07 11:42:08,session-21c8f122,rev-piigate,general-purpose,414,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 06:42:32,2026-08-07 11:42:32,session-21c8f122,rev-print,general-purpose,411,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 06:42:55,2026-08-07 11:42:55,session-21c8f122,rev-coursemd,Explore,413,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 06:53:57,2026-08-07 11:53:57,session-21c8f122,rev-attendee,general-purpose,409,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 06:55:58,2026-08-07 11:55:58,session-21c8f122,fix-pin,,420,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 06:59:30,2026-08-07 11:59:30,session-21c8f122,cut-companions,Explore,416,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 07:05:32,2026-08-07 12:05:32,session-21c8f122,fix-hover,,419,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 07:07:38,2026-08-07 12:07:38,session-21c8f122,fix-plate,,418,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 07:08:06,2026-08-07 12:08:06,session-21c8f122,fix-concise,,421,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 09:51:14,2026-08-07 14:51:14,session-fb71f71b,flags,,456,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 09:58:16,2026-08-07 14:58:16,session-fb71f71b,manifest,,455,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 12:06:44,2026-08-07 17:06:44,session-fb71f71b,phase2,,462,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 12:08:35,2026-08-07 17:08:35,session-fb71f71b,dns-verify,,461,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 12:34:16,2026-08-07 17:34:16,session-fb71f71b,warnings,,463,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 14:33:21,2026-08-07 19:33:21,session-f5007b08,assert-blocked-arm,general-purpose,493,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 14:43:00,2026-08-07 19:43:00,session-fb71f71b,exitpath,,494,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 14:46:35,2026-08-07 19:46:35,session-f5007b08,ledger-blocked-rung,general-purpose,492,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 14:49:14,2026-08-07 19:49:14,session-fb71f71b,probes,,495,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 16:29:56,2026-08-07 21:29:56,session-fb71f71b,p2-composite,,681,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 16:30:48,2026-08-07 21:30:48,session-fb71f71b,r1-core,,677,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 16:30:57,2026-08-07 21:30:57,session-fb71f71b,r1-sync,,678,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 16:34:56,2026-08-07 21:34:56,session-fb71f71b,r1-edge,,679,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 16:38:09,2026-08-07 21:38:09,session-fb71f71b,inv-manifest,,680,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 17:56:42,2026-08-07 22:56:42,session-a64e4989,a2-comms,deep-research,710,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 17:56:56,2026-08-07 22:56:56,session-a64e4989,a3-statusline,deep-research,711,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 17:57:02,2026-08-07 22:57:02,session-a64e4989,a4-skills,deep-research,713,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 17:58:06,2026-08-07 22:58:06,session-a64e4989,a6-teams,deep-research,716,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-07 17:58:08,2026-08-07 22:58:08,session-a64e4989,a1-research-workflows,deep-research,709,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 17:58:50,2026-08-07 22:58:50,session-a64e4989,a8-handoff,deep-research,718,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 17:59:11,2026-08-07 22:59:11,session-a64e4989,a9-tasks-cron,deep-research,719,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-07 17:59:15,2026-08-07 22:59:15,session-a64e4989,a5-hooks,deep-research,715,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 17:59:30,2026-08-07 22:59:30,session-a64e4989,a10-memory,deep-research,720,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 18:00:55,2026-08-07 23:00:55,session-a64e4989,a11-adversarial,frontier-derivation,721,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 18:01:32,2026-08-07 23:01:32,session-a64e4989,a7-worktree,deep-research,717,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 18:14:24,2026-08-07 23:14:24,session-a64e4989,a12-convergence,frontier-derivation,722,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-07 18:26:10,2026-08-07 23:26:10,session-0de9925e,grant-topology,general-purpose,731,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 20:28:46,2026-08-08 01:28:46,session-f5e7d954,poll-cycle,general-purpose,740,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 20:29:56,2026-08-08 01:29:56,session-0de9925e,mirror-forensics,general-purpose,730,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-07 20:31:20,2026-08-08 01:31:20,session-f5e7d954,relogin-verify,general-purpose,739,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-08 00:36:13,2026-08-08 05:36:13,session-a64e4989,v9-provenance,deep-research,771,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-08 02:27:38,2026-08-08 07:27:38,session-a0e76ffc,websetup-driver,general-purpose,793,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-08 02:37:00,2026-08-08 07:37:00,session-a0e76ffc,offbox-render,general-purpose,796,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-08 03:15:39,2026-08-08 08:15:39,session-fdb33b93,g8-eligibility,,805,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-08 03:30:09,2026-08-08 08:30:09,session-fdb33b93,g10-wake,,806,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-08 03:49:08,2026-08-08 08:49:08,session-fdb33b93,g5-venue,,804,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-08 14:19:54,2026-08-08 19:19:54,session-4d389310,cap-census,general-purpose,844,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-08 14:22:34,2026-08-08 19:22:34,session-4d389310,harvest-probe,general-purpose,846,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-08 14:24:09,2026-08-08 19:24:09,session-4d389310,oob-recon,general-purpose,845,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-08 22:35:46,2026-08-09 03:35:46,session-6d1d79cb,t5-rc4,general-purpose,880,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-08 22:46:30,2026-08-09 03:46:30,session-b8ce298c,ledger-census,general-purpose,882,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 00:02:50,2026-08-09 05:02:50,session-49e10824,w1-colour,general-purpose,887,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 00:06:55,2026-08-09 05:06:55,session-d33abf12,loss-forensics,general-purpose,890,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-09 00:09:46,2026-08-09 05:09:46,session-49e10824,w2-layout,general-purpose,888,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 00:58:02,2026-08-09 05:58:02,session-3b0cd9ca,loss-audit,general-purpose,900,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 01:05:31,2026-08-09 06:05:31,session-3b0cd9ca,killer-hunt,general-purpose,899,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 03:11:01,2026-08-09 08:11:01,session-0ef2adfa,offbox,deep-research,919,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 03:12:58,2026-08-09 08:12:58,session-0ef2adfa,persession,deep-research,922,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 03:19:36,2026-08-09 08:19:36,session-0ef2adfa,worktrees,deep-research,921,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-09 04:04:44,2026-08-09 09:04:44,session-4c3a5846,W2-jetsam,general-purpose,4,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 04:06:52,2026-08-09 09:06:52,session-4c3a5846,W1-panic,general-purpose,3,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 04:07:01,2026-08-09 09:07:01,session-4c3a5846,W4-kittylocal,general-purpose,7,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 14:06:11,2026-08-09 19:06:11,session-03515ee3,cap-kernel,frontier-derivation,8,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 14:06:51,2026-08-09 19:06:51,session-03515ee3,cap-gauges,frontier-derivation,10,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-09 14:06:54,2026-08-09 19:06:54,session-03515ee3,cap-userspace,frontier-derivation,9,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 23:04:32,2026-08-10 04:04:32,session-6d1a27d3,ui-audit,Explore,65,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-09 23:07:01,2026-08-10 04:07:01,session-6d1a27d3,env-derive,Explore,66,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-09 23:09:41,2026-08-10 04:09:41,session-6d1a27d3,evt-audit,Explore,64,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 23:48:05,2026-08-10 04:48:05,session-119ce481,dep-motion13,deep-research,73,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 23:53:53,2026-08-10 04:53:53,session-21fe99e4,gates,,81,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-09 23:56:36,2026-08-10 04:56:36,session-119ce481,dep-turso-sqlite,deep-research,75,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-09 23:57:13,2026-08-10 04:57:13,session-21fe99e4,refs,,82,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-10 00:00:34,2026-08-10 05:00:34,session-21fe99e4,components,,79,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-10 00:04:34,2026-08-10 05:04:34,session-c72f15e7,recon-seams,deep-research,89,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 00:05:23,2026-08-10 05:05:23,session-c72f15e7,recon-adversarial,deep-research,91,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 00:08:30,2026-08-10 05:08:30,session-c72f15e7,recon-kitty,deep-research,85,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 00:10:32,2026-08-10 05:10:32,session-21fe99e4,imagery,,78,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-10 00:12:03,2026-08-10 05:12:03,session-c72f15e7,recon-ledgers,deep-research,90,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 00:15:23,2026-08-10 05:15:23,session-c72f15e7,recon-deaths,deep-research,92,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 00:22:52,2026-08-10 05:22:52,session-c72f15e7,recon-census,deep-research,87,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 00:34:58,2026-08-10 05:34:58,session-119ce481,dep-nanoid-webvitals,deep-research,74,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 01:43:32,2026-08-10 06:43:32,session-bce9213b,land-A-mechanism,deep-research,119,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 10:39:50,2026-08-10 15:39:50,session-c72f15e7,recon-transcripts,deep-research,86,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 10:39:57,2026-08-10 15:39:57,session-c72f15e7,review-close-integrity,deep-research,118,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-10 10:40:00,2026-08-10 15:40:00,session-c72f15e7,recon-stopchain,deep-research,83,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 17:59:07,2026-08-10 22:59:07,session-bce9213b,land-C-priorart,deep-research,121,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 17:59:14,2026-08-10 22:59:14,session-bce9213b,land-F-sessioncost,deep-research,124,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-10 17:59:18,2026-08-10 22:59:18,session-bce9213b,land-E-live,deep-research,123,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-10 17:59:19,2026-08-10 22:59:19,session-bce9213b,land-D-decisions,deep-research,122,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-10 22:38:05,2026-08-11 03:38:05,session-a28e8b9c,D-parallel,deep-research,255,no,,,,,,,,yes,yes,,,,UNCERTAIN,
